subject,label,Energy,Scale_Variance,RMS,Roll_Off,Variance,Approximate_Entropy,Zero_Crossing,Modified_MAV,CSP_1,CSP_2
1,1,27.80593052337899,-3.5336105966927445,0.294091447005294,0.7990654205607477,0.08661920548530773,0.5772303347429535,26.0,0.180686259831861,-0.7740749796069839,-1.2625564213852183
1,0,40.080894223787126,-3.0166952108176046,0.35243945981661046,0.8753894080996885,0.12485962978052245,0.5962967706927875,27.0,0.2173323869999297,-1.0755848441099027,-0.8779127648686562
1,0,25.954302943563178,-3.6305860997110297,0.2842480599517053,0.8208722741433021,0.08085437004699723,0.576245722858812,26.5,0.15728546412018898,-0.5365346769533363,-1.174105301784923
1,1,45.714073589264025,-2.8119707998948367,0.37737122426132486,0.7320872274143302,0.14240562741480814,0.586682254406979,30.5,0.22211234401284366,-0.6786226314937638,-0.08061520086521622
1,1,36.709412419844874,-3.1513240884838996,0.3368329509059441,0.7694704049844237,0.1143591118969379,0.5704578622743284,30.0,0.2128643495880893,-0.9412295019576273,-0.5894532399946746
1,0,38.562352695469784,-3.0638989159811545,0.3462064707292868,0.7383177570093458,0.12013057370475808,0.5726364519117084,29.5,0.1969132791269813,-0.620089335271916,-0.9540036358960429
1,0,44.94156049691179,-2.836559570637431,0.37416891249576845,0.8738317757009346,0.13999928142995138,0.5488233795594346,30.0,0.19700337448910987,-0.5492097950355247,-1.0228327113339386
1,1,69.08584808697245,-2.2170670485958306,0.46384456371738325,0.8691588785046729,0.21521585516877018,0.530011892476274,25.5,0.217038726837898,-0.8860264188783048,-0.5528655473023714
1,0,27.20232438795251,-3.575889703405447,0.29034901029521176,0.8161993769470405,0.08473869914651966,0.5389359982327966,29.0,0.1481271404134662,-0.07470801249244113,0.6707161231418054
1,1,27.09842631701946,-3.5667111112474625,0.29053116048916156,0.8333333333333333,0.08441515160279917,0.5683924086869099,29.0,0.17496174065015324,-0.8230405532269068,-0.8453962488865098
1,1,33.51479123025546,-3.2601204138812694,0.323099780731071,0.7834890965732086,0.10440518950418975,0.5288217945102487,26.5,0.17585762478430111,-0.6854190615166829,-0.44170661234014424
1,0,69.82614507583527,-2.3467183662447484,0.45503975076317316,0.7663551401869159,0.21752512672576452,0.5713070353866232,31.5,0.26657220150289207,-0.4122551751304899,-0.2954072026404955
1,0,45.242808346254456,-2.8521593072300355,0.3737875542310837,0.7538940809968847,0.1409414470775604,0.5611564106787135,26.0,0.22322315642358986,-0.5717369821958967,-0.9686248464293673
1,1,16.820291007938803,-4.260005618338262,0.22868669234553518,0.82398753894081,0.05239704369225244,0.601264780395756,30.0,0.13682610730072334,-0.9137753818235164,-1.0142434379074918
1,0,31.927060894297206,-3.3504271835134647,0.3142494684305489,0.7819314641744548,0.09946101579791107,0.5384042319247637,30.0,0.18226827285173763,-0.9804086289054469,-1.0460657395266677
1,0,24.07522371531158,-3.7400321998761727,0.2737182270691437,0.8177570093457944,0.07499875758398661,0.5831728106358733,30.5,0.16111563581911625,-1.034118713731369,-1.2509303320924825
1,1,32.8281963538252,-3.3449914049089813,0.3167672263832262,0.8052959501557633,0.10226808299958312,0.5927365527267006,29.0,0.1672922401439978,-0.7405961262325987,-1.2697399588185274
1,0,39.00455143475427,-3.05223727076937,0.347898535297639,0.8193146417445483,0.12150715790417035,0.6189037451840393,29.0,0.21049365928910774,-0.7202211299707496,-0.5005674786063276
1,1,58.87879258380828,-2.455789384922344,0.4276139543494284,0.9314641744548287,0.18341645641262644,0.540280451828735,28.0,0.2034454663997332,-0.9293261497915252,-0.8324007678128835
1,0,30.874160239557824,-3.4531106478419296,0.30618060391493485,0.8785046728971962,0.09617616804664038,0.5914553923822863,30.5,0.1766230341423624,-0.6320115781670578,-0.2102323490512257
1,1,65.2175943564153,-2.309421230444404,0.4499525984461495,0.7725856697819314,0.20316717819466473,0.5710455665774881,28.5,0.2629814657008709,-1.036465153961692,0.5290220361745314
1,1,43.7997631510101,-2.874357495226298,0.369339842324818,0.8021806853582554,0.13644608236082162,0.5448914441715516,28.5,0.21170119493408265,-0.9905006522634052,-0.44450287935407284
1,0,28.52876150745358,-3.509283728972987,0.2972466621686761,0.8925233644859814,0.08886087870805265,0.5725608872664425,29.5,0.15601337951295216,-1.104733537300236,-1.1765931325175059
