CSP_1,CSP_2,CSP_3,CSP_4,CSP_5,CSP_6,CSP_7,CSP_8,label,group
-0.25402885737384806,-0.7844729804550983,-0.6259911134152034,0.06839512791587812,-0.5193166675198975,-0.37892866241970896,-0.02363610926714434,-1.466265127964058,0,2
-0.8699467547733271,-0.35877744717920557,-0.4458150919673363,-0.28797010108344334,-0.35516780984123086,-0.08757908617176935,-0.09434102844396232,-1.1536678359483892,1,2
-0.9293163396884596,-1.4030540029922263,-0.8717348016381798,-0.12398812851221717,0.21168044926725782,-0.7911545110945934,-0.3422769918985105,-1.1116212331026425,1,2
-1.3546670852018974,-1.4274778747327528,-1.2559328769800913,-0.447026748801659,-0.4209196299241276,-1.149995035818227,-0.24321638633989728,-1.5169450614336404,0,2
0.2061713962225717,0.04571415168019696,-0.31385681763300016,0.25176089259143675,0.26388719184839854,-0.011462946327046176,0.06701359928598061,-0.5523821883712968,0,2
0.17101055257166037,0.5262636549648285,-0.0176541613877731,0.6942309044912967,0.1955154145462005,-0.25560971292678264,-0.01585077889888395,-0.8247615285142612,1,2
0.16382772831688103,-0.8310634451853203,-1.1182104224677987,0.7134631821619051,0.4033333450315575,-0.9271381763482295,0.14923369993131097,-0.8658434017193244,1,2
0.30119420327751095,0.08192399519341317,-0.5967752324343161,0.836803431929773,0.5935313248693862,-0.5095704523924759,0.17055572308431663,-0.7113932524831815,0,2
-0.6536669008537785,-0.0022006799990054006,0.16410683931135225,-0.4002638691675451,0.08171453931708661,-0.1801375413420674,-0.20204523754812748,-0.6079493517847799,1,2
-1.475304185034671,-1.0964411223993848,-1.0550518096613093,-0.8529386851796277,-0.28106924084984064,-1.051535528323857,0.04385521046763559,-0.8704808924611027,0,2
-0.446962486124222,-0.16964623332919335,-0.14335837581780617,0.4710381076605646,-0.001931714396412507,-0.23372804134538308,0.07873050064096707,-1.0808064264842614,0,2
-0.9073285737287764,0.3218271883956409,0.04444688113253342,-0.2781324694236457,-0.20132208246766495,-0.4831675598867184,-0.15006953282858748,-0.6618834044653478,1,2
0.9502156076286113,0.4619033989206473,-0.05866794469628261,0.6076610610305255,0.8726512639447097,-0.149827921853692,-0.0029036131295235796,-0.6989444351644465,0,2
-0.4243265358546766,-0.2593426073602793,0.1396232265815431,0.2551171861679105,0.18502086998601258,-0.3086066923629873,-0.03631178191516439,-0.8740715485763473,1,2
1.3158841437726971,-0.6585962532920607,-0.33639426062154143,1.7100461201164079,1.3289956963597929,-0.08895360210764394,0.5513729672590845,0.9040451160060172,0,2
